"state_name","species_code","common_name","scientific_name","percent_pop_breeding","percent_pop_postbreeding_migration","percent_pop_nonbreeding","percent_pop_prebreeding_migration","max_week_season","max_week","max_week_percent_pop","state_rank_breeding","breeding_habitat_primary","breeding_habitat_secondary"
"Alabama","blugrb1","Blue Grosbeak","Passerina caerulea",2.59,2.88,0,2.49,"prebreeding_migration","04-19",5.344,"8 of 35","Forests:  Temperate Eastern","Aridlands:  Desert Riparian"
"Alabama","blujay","Blue Jay","Cyanocitta cristata",2.79,2.43,2.09,2.55,"prebreeding_migration","04-12",3.356,"13 of 40","Forests:  Temperate Eastern",NA
"Alabama","bnhcow","Brown-headed Cowbird","Molothrus ater",0.71,0.77,0.95,1.04,"prebreeding_migration","03-29",1.663,"33 of 48","Open Country:  Habitat Mosaic",NA
"Alabama","bnhnut","Brown-headed Nuthatch","Sitta pusilla",13.72,13.72,13.72,13.72,"resident","year round resident",NA,"3 of 14","Forests:  Temperate Eastern",NA
"Alabama","boboli","Bobolink","Dolichonyx oryzivorus",0,0,0,0.74,"prebreeding_migration","04-26",3.253,NA,"Grasslands:  Temperate",NA
"Alabama","bongul","Bonaparte's Gull","Chroicocephalus philadelphia",0,0.43,6.12,0.5,"prebreeding_migration","03-22",9.019,NA,"Wetlands:  Boreal",NA
"Alabama","botgra","Boat-tailed Grackle","Quiscalus major",0.15,0.15,0.15,0.15,"resident","year round resident",NA,"10 of 13","Coasts:  Saltmarsh","Wetlands:  Freshwater Marsh"
"Alabama","brdowl","Barred Owl","Strix varia",2.46,2.46,2.46,2.46,"resident","year round resident",NA,"14 of 42","Forests:  Temperate Eastern","Forests:  Temperate Western"
"Alabama","brebla","Brewer's Blackbird","Euphagus cyanocephalus",0,0,0.03,0,"nonbreeding","01-11",0.05477,NA,"Open Country:  Habitat Mosaic",NA
"Alabama","brncre","Brown Creeper","Certhia americana",0,0.54,1.06,0.13,"nonbreeding","12-27",1.446,NA,"Forests:  Temperate Generalist",NA
"Alabama","brnpel","Brown Pelican","Pelecanus occidentalis",1.98,2.45,0.76,0.84,"postbreeding_migration","08-30",4.86,"5 of 15","Coasts:  Beach and Estuary","Coasts:  Marine Waters"
"Alabama","brnthr","Brown Thrasher","Toxostoma rufum",3.3,9.99,13.63,5.23,"postbreeding_migration","10-25",15.89,"8 of 39","Forests:  Temperate Eastern",NA
"Alabama","brwhaw","Broad-winged Hawk","Buteo platypterus",1.82,0.06,0,0.51,"breeding","07-26",2.266,"8 of 33","Forests:  Boreal","Forests:  Temperate Eastern"
"Alabama","btbwar","Black-throated Blue Warbler","Setophaga caerulescens",0,0,0,0.01,"prebreeding_migration","04-26",0.1611,NA,"Forests:  Boreal","Forests:  Temperate Eastern"
"Alabama","btnwar","Black-throated Green Warbler","Setophaga virens",0.05,1.09,0,0.79,"postbreeding_migration","10-18",9.767,"19 of 24","Forests:  Boreal","Forests:  Temperate Eastern"
"Alabama","bubsan","Buff-breasted Sandpiper","Calidris subruficollis",0,0.03,0,0,"postbreeding_migration","09-06",0.1036,NA,"Tundra:  Arctic",NA
"Alabama","buffle","Bufflehead","Bucephala albeola",0,0.12,0.63,0.11,"nonbreeding","01-25",0.7085,NA,"Wetlands:  Forested","Wetlands:  Lakes and Rivers"
"Alabama","buggna","Blue-gray Gnatcatcher","Polioptila caerulea",3.78,2.13,0.2,3.32,"prebreeding_migration","04-05",5.464,"9 of 44","Forests:  Generalist",NA
"Alabama","buhvir","Blue-headed Vireo","Vireo solitarius",0.07,2.53,8.97,1.74,"unidentified","03-08",12.21,"19 of 22","Forests:  Boreal","Forests:  Temperate Eastern"
"Alabama","buwtea","Blue-winged Teal","Spatula discors",0,0.08,0,0.17,"prebreeding_migration","03-29",0.5509,NA,"Wetlands:  Seasonally Wet Grasslands","Wetlands:  Freshwater Marsh"
"Alabama","buwwar","Blue-winged Warbler","Vermivora cyanoptera",0.23,4.2,0,1.4,"postbreeding_migration","09-20",14.16,"21 of 26","Forests:  Temperate Eastern",NA
"Alabama","camwar","Cape May Warbler","Setophaga tigrina",0,0.01,0,0.13,"prebreeding_migration","04-26",2.973,NA,"Forests:  Boreal",NA
"Alabama","cangoo","Canada Goose","Branta canadensis",0.36,0.12,0.26,0.09,"breeding","07-19",0.6533,"30 of 49","Wetlands:  Generalist",NA
"Alabama","canvas","Canvasback","Aythya valisineria",0,0.05,0.59,0.03,"nonbreeding","12-27",0.7763,NA,"Wetlands:  Seasonally Wet Grasslands","Wetlands:  Freshwater Marsh"
"Alabama","canwar","Canada Warbler","Cardellina canadensis",0,0.38,0,0.08,"postbreeding_migration","09-13",2.458,NA,"Forests:  Boreal","Forests:  Temperate Eastern"
"Alabama","carchi","Carolina Chickadee","Poecile carolinensis",5.57,5.57,5.57,5.57,"resident","year round resident",NA,"9 of 23","Forests:  Temperate Eastern",NA
"Alabama","carwre","Carolina Wren","Thryothorus ludovicianus",7.29,7.29,7.29,7.29,"resident","year round resident",NA,"4 of 33","Forests:  Temperate Eastern",NA
"Alabama","caster1","Caspian Tern","Hydroprogne caspia",0.72,0.64,0.05,0.3,"postbreeding_migration","09-06",1.986,"11 of 33","Wetlands:  Lakes and Rivers",NA
"Alabama","categr","Western/Eastern Cattle Egret","Bubulcus ibis/coromandus",0.23,0.09,0,0.03,"breeding","07-26",0.4357,"8 of 15","Grasslands:  Temperate","Grasslands:  Temperate"
"Alabama","cedwax","Cedar Waxwing","Bombycilla cedrorum",0,1.99,6.53,1.99,"nonbreeding","01-25",7.043,NA,"Forests:  Temperate Generalist",NA
"Alabama","cerwar","Cerulean Warbler","Setophaga cerulea",0.11,1.05,0,0.97,"postbreeding_migration","08-23",5.243,"19 of 22","Forests:  Temperate Eastern",NA
"Alabama","chispa","Chipping Sparrow","Spizella passerina",0.67,1.58,5.89,1.52,"nonbreeding","01-25",6.759,"32 of 48","Forests:  Temperate Generalist",NA
"Alabama","chiswi","Chimney Swift","Chaetura pelagica",5.22,8.57,0,6.06,"postbreeding_migration","10-11",16.15,"6 of 41","Open Country Aerial:  Developed/Disturbed","Open Country Aerial:  Habitat Mosaic"
"Alabama","chswar","Chestnut-sided Warbler","Setophaga pensylvanica",0,2.98,0,0.19,"postbreeding_migration","09-27",10.38,NA,"Forests:  Boreal","Forests:  Temperate Eastern"
"Alabama","chwwid","Chuck-will's-widow","Antrostomus carolinensis",9.59,1.13,0,7.54,"breeding","06-14",13.06,"4 of 25","Forests:  Temperate Eastern",NA
"Alabama","clarai11","Clapper Rail","Rallus crepitans",2.06,1.51,1.09,1.83,"breeding","07-12",2.989,"11 of 15","Coasts:  Saltmarsh",NA
"Alabama","cliswa","Cliff Swallow","Petrochelidon pyrrhonota",0.52,0.13,0,0.28,"prebreeding_migration","04-05",0.6918,"28 of 42","Open Country Aerial:  Habitat Mosaic",NA
"Alabama","cogdov","Common Ground Dove","Columbina passerina",0.09,0,0.02,0,"breeding","08-30",0.1061,"6 of 8","Aridlands:  Desert Scrub","Forests:  Tropical Dry"
"Alabama","comgal1","Common Gallinule","Gallinula galeata",0.05,0.03,0.01,0.03,"breeding","06-21",0.06318,"10 of 16","Wetlands:  Freshwater Marsh",NA
"Alabama","comgol","Common Goldeneye","Bucephala clangula",0,0.01,0.06,0,"nonbreeding","01-04",0.07733,NA,"Wetlands:  Forested","Wetlands:  Lakes and Rivers"
"Alabama","comgra","Common Grackle","Quiscalus quiscula",0.65,1.37,3.13,1.25,"nonbreeding","01-04",3.82,"32 of 42","Open Country:  Habitat Mosaic",NA
"Alabama","comloo","Common Loon","Gavia immer",0,0.2,2.47,0.17,"prebreeding_migration","03-22",2.952,NA,"Wetlands:  Lakes and Rivers",NA
"Alabama","comnig","Common Nighthawk","Chordeiles minor",0.03,0.19,0,0.13,"prebreeding_migration","05-03",1.16,"33 of 38","Open Country Aerial:  Habitat Mosaic",NA
